event_id,entity_id,event_time,event_type,value,source_system
3fe1608a-fee2-4da9-bb7e-8456022f36fc,AAPL,2026-08-06,MARKET_PRICE,312.41000,TwelveData
193ff22b-192a-4fed-bdf1-de88650da407,AAPL,2026-08-05,MARKET_PRICE,311,TwelveData
a796e9fe-e415-4870-8b74-a1a360bbf01e,AAPL,2026-08-04,MARKET_PRICE,309.38000,TwelveData
87beebc4-97f2-4764-8c84-db1a815d06f3,AAPL,2026-08-03,MARKET_PRICE,303.42001,TwelveData
1d279d8f-6e21-452b-a09c-1807eec2949d,AAPL,2026-07-31,MARKET_PRICE,308.91000,TwelveData
fdec4b73-fee8-4efa-aa59-b05d6910b351,AAPL,2026-07-30,MARKET_PRICE,333.42999,TwelveData
36021261-128b-45f1-9a17-9048f8a294d5,AAPL,2026-07-29,MARKET_PRICE,338.19000,TwelveData
e9485d96-5a03-4992-8188-35643c1eab57,AAPL,2026-07-28,MARKET_PRICE,340.079987,TwelveData
bcc2e76a-1d85-476e-abf4-a49004397ed2,AAPL,2026-07-27,MARKET_PRICE,336.91000,TwelveData
59500f13-d49d-4eb6-947d-5d383d38f804,AAPL,2026-07-24,MARKET_PRICE,333.019989,TwelveData
